match_id,date,date_unix,status,game_week,season,fetch_date,league_id,homeID,home_name,awayID,away_name,team_a_xg_prematch,team_b_xg_prematch,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_1_prob,odds_ft_x_prob,odds_ft_2_prob,odds_ft_over05,odds_ft_under05,odds_ft_over15,odds_ft_under15,odds_ft_over25,odds_ft_under25,odds_ft_over35,odds_ft_under35,odds_ft_over45,odds_ft_under45,odds_btts_yes,odds_btts_no,odds_doublechance_1x,odds_doublechance_12,odds_doublechance_x2,btts_potential,o05_potential,o15_potential,o25_potential,o35_potential,o45_potential,CTMCL,IP_OVER,avg_goals_market,pre_total_xg,odds_corners_over_85,odds_corners_over_95,team_a_attacks,team_b_attacks,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_penalties_won,team_b_penalties_won
8341548,2025-10-23 06:00:00,1761179400,complete,0,2025,2025-10-23,13973,7,Chicago Fire,17,Orlando City,1.55,1.7,2.0,3.5,2.88,0.44133099824868655,0.2521891418563923,0.3064798598949212,1.0,10.0,1.17,5.4,1.48,2.64,2.25,1.6,3.85,1.26,1.47,2.5,1.25,1.22,1.71,75,91,85,74,53,28,2.6756756756756754,0.6756756756756757,2.39,3.25,1.46,1.85,103,84,73,36,0,0
8282850,2025-10-23 06:30:00,1761181200,complete,14,2025/2026,2025-10-23,15234,1417,Pachuca,1423,Tigres UANL,1.51,1.93,2.79,3.4,2.3,0.329637904143658,0.2704969860472959,0.3998651098090461,1.01,8.9,1.27,3.42,1.85,1.95,3.05,1.31,5.35,1.09,1.65,2.11,1.55,1.25,1.41,42,93,73,42,31,16,2.5405405405405403,0.5405405405405405,2.19,3.44,1.38,1.91,102,80,50,26,0,0
8282931,2025-10-23 06:30:00,1761181200,complete,14,2025/2026,2025-10-23,15234,1427,Querétaro,1431,Guadalajara,0.92,1.47,4.33,3.25,1.58,0.19712924538080304,0.26263680999965455,0.5402339446195424,1.01,8.5,1.32,3.15,2.01,1.83,3.65,1.24,6.65,1.12,1.92,1.93,1.97,1.29,1.2,46,96,77,58,35,15,2.4975124378109452,0.49751243781094534,2.31,2.39,1.5,1.83,41,143,17,99,0,0
8341547,2025-10-23 08:00:00,1761186600,incomplete,0,2025,2025-10-23,13973,20,Portland Timbers,14,Real Salt Lake,1.36,1.57,2.22,3.59,3.15,0.4304507199872104,0.26618401068847,0.30336526932431973,1.01,10.0,1.18,4.15,1.65,2.26,2.42,1.52,4.2,1.19,1.5,2.33,1.34,1.29,1.71,55,94,71,47,28,15,2.606060606060606,0.6060606060606061,2.26,2.93,1.4,1.79,0,0,0,0,0,0
8282882,2025-10-23 08:30:00,1761188400,incomplete,14,2025/2026,2025-10-23,15234,1421,Atlas,1434,León,1.07,1.31,2.65,3.25,2.61,0.35326822564187993,0.2880494762926098,0.3586822980655103,1.01,11.0,1.2,4.1,1.63,2.15,2.43,1.5,4.25,1.18,1.53,2.38,1.29,1.27,1.53,54,96,81,58,50,31,2.6134969325153374,0.6134969325153374,2.27,2.38,1.42,1.73,0,0,0,0,0,0
8282926,2025-10-23 08:30:00,1761188400,incomplete,14,2025/2026,2025-10-23,15234,1418,Tijuana,1424,Toluca,1.31,1.87,3.07,3.5,2.1,0.2994865944095836,0.2626925270964061,0.4378208784940102,1.04,10.0,1.08,5.6,1.37,2.75,2.05,1.73,3.2,1.29,1.38,2.8,1.25,1.22,1.33,62,100,89,66,58,27,2.72992700729927,0.7299270072992701,2.27,3.18,1.47,1.82,0,0,0,0,0,0
8282942,2025-10-23 08:35:00,1761188700,incomplete,14,2025/2026,2025-10-23,15234,1422,Pumas UNAM,1449,Atlético San Luis,1.27,1.24,1.89,3.68,3.75,0.49564158648406953,0.2545550539279596,0.24980335958797098,1.04,10.0,1.28,3.34,1.77,1.9,2.97,1.36,6.55,1.13,1.77,1.95,1.22,1.25,2.02,66,96,81,50,31,23,2.5649717514124295,0.5649717514124294,2.19,2.51,1.4,1.83,0,0,0,0,0,0
7992292,2025-10-23 18:30:00,1761224400,incomplete,26,2025,2025-10-23,14186,699766,Xorazm,9048,Pakhtakor,1.48,1.29,7.5,5.1,1.33,0.12330933682373474,0.18133726003490405,0.6953534031413613,1.02,8.3,1.33,3.0,1.55,2.3,3.6,1.25,6.85,1.08,2.45,1.5,2.9,1.22,1.05,46,88,75,46,29,13,2.6451612903225805,0.6451612903225806,2.21,2.77,0.0,0.0,0,0,0,0,0,0
7992295,2025-10-23 19:00:00,1761226200,incomplete,26,2025,2025-10-23,14186,671154,Buxoro,671159,Sogdiana,1.43,1.55,2.35,3.35,2.8,0.3935801951117172,0.2760935697052344,0.3303262351830484,1.02,9.1,1.25,3.6,1.72,2.0,3.0,1.33,5.8,1.11,1.69,2.1,1.33,1.33,1.42,59,96,84,50,34,13,2.5813953488372094,0.5813953488372093,2.16,2.98,0.0,0.0,0,0,0,0,0,0
8198038,2025-10-23 20:25:00,1761231300,incomplete,6,2025/2026,2025-10-23,15741,5088,Al Riyadh,5125,Al Kholood,0.87,0.97,2.58,3.35,2.6,0.3619965919953452,0.2787914051785046,0.3592120028261502,1.05,9.75,1.23,3.55,1.92,1.95,3.22,1.35,5.4,1.11,1.7,2.08,1.24,1.25,1.45,84,100,100,84,25,25,2.5208333333333335,0.5208333333333334,2.34,1.8399999999999999,1.56,2.18,0,0,0,0,0,0
8198028,2025-10-23 20:30:00,1761231600,incomplete,6,2025/2026,2025-10-23,15741,5071,Al Feiha,5074,Al Taawon,0.83,1.11,2.75,3.0,2.7,0.3406940063091483,0.31230283911671924,0.3470031545741325,1.03,7.4,1.4,2.74,2.15,1.67,3.8,1.24,7.3,1.06,2.0,1.84,1.31,1.31,1.42,50,75,50,25,25,25,2.4651162790697674,0.46511627906976744,2.25,1.94,1.5,1.83,0,0,0,0,0,0
8286069,2025-10-23 21:00:00,1761233400,incomplete,32,2025,2025-10-23,14291,1254,Hegelmann Litauen,1247,Džiugas Telšiai,1.57,1.34,1.52,3.59,6.2,0.599319310263121,0.2537507943175331,0.14692989541934579,1.03,9.0,1.26,3.3,1.76,1.94,3.14,1.3,6.05,1.1,1.8,1.89,1.29,1.2,2.05,41,97,66,44,19,13,2.5681818181818183,0.5681818181818182,2.28,2.91,0.0,0.0,0,0,0,0,0,0
8336779,2025-10-23 21:00:00,1761233400,incomplete,2,2025/2026,2025-10-23,16004,679664,HJK U19,678201,Trabzonspor U19,1.56,0.0,2.7,3.8,2.05,0.3302946788212847,0.23468306126775493,0.4350222599109604,1.01,19.5,1.08,6.5,1.3,2.97,1.8,1.91,2.8,1.34,1.31,3.11,1.25,1.18,1.4,25,50,50,25,25,0,2.769230769230769,0.7692307692307692,2.25,,0.0,0.0,0,0,0,0,0,0
8269785,2025-10-23 21:30:00,1761235200,incomplete,32,2025,2025-10-23,14291,1230,Sūduva,1237,Dainava,1.32,1.15,1.58,3.45,5.6,0.5746750349504743,0.26318450875992744,0.16214045628959814,1.02,10.0,1.25,3.6,1.78,1.92,2.92,1.33,5.5,1.11,1.91,1.76,1.22,1.17,2.5,55,90,74,49,32,10,2.561797752808989,0.5617977528089888,2.25,2.4699999999999998,0.0,0.0,0,0,0,0,0,0
8252374,2025-10-23 22:15:00,1761237900,incomplete,3,2025/2026,2025-10-23,15002,100,Salzburg,119,Ferencváros,1.34,1.09,1.65,4.0,5.2,0.5780989438576987,0.2384658143413007,0.18343524180100051,1.04,14.9,1.23,4.0,1.83,1.97,2.8,1.4,4.65,1.15,1.58,2.2,1.3,1.29,1.8,25,100,50,0,0,0,2.5464480874316937,0.5464480874316939,2.5,2.43,1.48,1.91,0,0,0,0,0,0
8252381,2025-10-23 22:15:00,1761237900,incomplete,3,2025/2026,2025-10-23,15002,366,Go Ahead Eagles,158,Aston Villa,1.56,1.06,5.1,4.2,1.6,0.18512396694214878,0.22479338842975205,0.5900826446280991,1.03,19.5,1.16,5.0,1.5,2.48,2.35,1.6,3.86,1.22,1.7,2.1,1.2,1.15,1.13,25,100,50,25,0,0,2.6666666666666665,0.6666666666666666,2.25,2.62,1.54,1.78,0,0,0,0,0,0
8252387,2025-10-23 22:15:00,1761237900,incomplete,3,2025/2026,2025-10-23,15002,57,Olympique Lyonnais,79,Basel,1.44,1.39,1.55,4.05,6.1,0.6109428129829985,0.2338176197836167,0.15523956723338486,1.02,11.0,1.17,4.7,1.52,2.43,2.35,1.6,4.0,1.22,1.57,2.3,1.22,1.17,2.25,25,100,75,25,0,0,2.6578947368421053,0.6578947368421053,2.0,2.83,1.42,1.73,0,0,0,0,0,0
